time,boat_cx,boat_cy,world_cx,world_cy,theta
0.11863398551940918
0.2936270236968994,660.0,182.0,665.0,440.0,0.37441301989319264
0.433882474899292,660.0,182.0,665.0,440.0,0.3813213728569405
0.5725612640380859,660.0,182.0,665.0,440.0,0.37942515034083757
0.7005558013916016,660.0,182.0,665.0,440.0,0.3813213728569405
0.8389582633972168,660.0,182.0,665.0,440.0,0.3813213728569405
0.9691073894500732,660.0,182.0,665.0,440.0,0.37441301989319264
1.1066710948944092,660.0,182.0,665.0,440.0,0.37441301989319264
1.2492139339447021,660.0,182.0,665.0,440.0,0.37441301989319264
1.4226598739624023,660.0,182.0,665.0,440.0,0.37441301989319264
1.5467643737792969,660.0,182.0,665.0,440.0,0.3813213728569405
1.6784663200378418,660.0,182.0,665.0,440.0,0.37942515034083757
1.8249049186706543,660.0,182.0,665.0,440.0,0.37942515034083757
2.0017433166503906,660.0,182.0,665.0,440.0,0.37441301989319264
2.1732513904571533,660.0,182.0,665.0,440.0,0.37942515034083757
2.2986655235290527,660.0,182.0,665.0,440.0,0.37942515034083757
2.4223177433013916,660.0,182.0,665.0,440.0,0.37441301989319264
2.5503082275390625,660.0,182.0,665.0,440.0,0.37441301989319264
2.6814801692962646,660.0,182.0,665.0,440.0,0.37441301989319264
2.8400957584381104,660.0,182.0,665.0,440.0,0.3813213728569405
3.016301155090332,660.0,182.0,665.0,440.0,0.3813213728569405
3.1811726093292236,660.0,182.0,665.0,440.0,0.37628756708468186
3.3488218784332275,660.0,182.0,665.0,440.0,0.37942515034083757
3.5090737342834473,660.0,182.0,665.0,440.0,0.37942515034083757
3.6384849548339844,660.0,182.0,665.0,440.0,0.37942515034083757
3.801298141479492,660.0,182.0,665.0,440.0,0.37942515034083757
3.965829372406006,660.0,182.0,665.0,440.0,0.3813213728569405
4.128659009933472,660.0,182.0,665.0,440.0,0.37441301989319264
4.278889417648315,660.0,182.0,665.0,440.0,0.3813213728569405
4.4407594203948975,660.0,182.0,665.0,440.0,0.3813213728569405
4.613614320755005,660.0,182.0,665.0,440.0,0.37942515034083757
4.781920433044434,660.0,182.0,665.0,440.0,0.3813213728569405
4.947515487670898,660.0,182.0,665.0,440.0,0.37942515034083757
5.102764844894409,660.0,182.0,665.0,440.0,0.37441301989319264
5.250609636306763,660.0,182.0,665.0,440.0,0.37441301989319264
5.415802478790283,660.0,182.0,665.0,440.0,0.37441301989319264
5.573790550231934,660.0,182.0,665.0,440.0,0.37942515034083757
5.730938196182251,660.0,182.0,665.0,440.0,0.37942515034083757
5.899555444717407,660.0,182.0,665.0,440.0,0.37942515034083757
6.073655605316162,660.0,182.0,665.0,440.0,0.37942515034083757
6.2497313022613525,660.0,182.0,665.0,440.0,0.37942515034083757
6.424978017807007,660.0,182.0,665.0,440.0,0.37942515034083757
6.587318658828735,660.0,182.0,665.0,440.0,0.3813213728569405
6.750715494155884,660.0,182.0,665.0,440.0,0.37942515034083757
6.8732523918151855,660.0,182.0,665.0,440.0,0.37441301989319264
7.028010368347168,660.0,182.0,665.0,440.0,0.37942515034083757
7.189356565475464,660.0,182.0,665.0,440.0,0.37441301989319264
7.353226661682129,660.0,182.0,665.0,440.0,0.37441301989319264
7.514045238494873,660.0,182.0,665.0,440.0,0.3813213728569405
7.674658298492432,660.0,182.0,665.0,440.0,0.37441301989319264
7.838865756988525,660.0,182.0,665.0,440.0,0.37942515034083757
8.014086484909058,660.0,182.0,665.0,440.0,0.37942515034083757
8.173018455505371,660.0,182.0,665.0,440.0,0.37942515034083757
8.347553968429565,660.0,182.0,665.0,440.0,0.37942515034083757
8.51117491722107,659.0,182.0,665.0,440.0,0.37877857447232127
8.669301271438599,659.0,182.0,665.0,440.0,0.38251979721044427
8.826716184616089,659.0,182.0,665.0,440.0,0.38441840356072
8.990272283554077,660.0,182.0,665.0,440.0,0.37441301989319264
9.154470205307007,660.0,182.0,665.0,440.0,0.37942515034083757
9.336307525634766,660.0,182.0,665.0,440.0,0.37942515034083757
9.490025758743286,660.0,182.0,665.0,440.0,0.3813213728569405
9.658209562301636,660.0,182.0,665.0,440.0,0.3813213728569405
9.81120753288269,660.0,182.0,665.0,440.0,0.37441301989319264
9.970593214035034,660.0,182.0,665.0,440.0,0.37628756708468186
10.123912572860718,660.0,182.0,665.0,440.0,0.37441301989319264
10.286214113235474,660.0,182.0,665.0,440.0,0.37441301989319264
