0.0,-0.0
-0.6342,0.0201
-1.2659,0.0805
-1.8925,0.1807
-2.5115,0.3205
-3.1203,0.4993
-3.7166,0.7163
-4.2979,0.9707
-4.862,1.2615
-5.4064,1.5875
-5.9291,1.9473
-6.4279,2.3396
-6.9008,2.7627
-7.3459,3.2149
-7.7615,3.6945
-8.1458,4.1994
-8.4973,4.7277
-8.8145,5.2773
-9.0963,5.8458
-9.3415,6.4311
-9.549,7.0308
-9.7181,7.6424
-9.8481,8.2635
-9.9384,8.8916
-9.9887,9.5242
-9.9987,10.1587
-9.9685,10.7925
-9.8982,11.4231
-9.788,12.0481
-9.6384,12.6647
-9.45,13.2707
-9.2235,13.8635
-8.9599,14.4407
-8.6603,15.0
-8.3257,15.5392
-7.9576,16.0561
-7.5575,16.5486
-7.1269,17.0147
-6.6677,17.4526
-6.1816,17.8605
-5.6706,18.2368
-5.1368,18.5798
-4.5823,18.8884
-4.0093,19.1611
-3.4202,19.3969
-2.8173,19.5949
-2.2031,19.7543
-1.58,19.8744
-0.9506,19.9547
-0.3173,19.995
0.3173,19.995
0.9506,19.9547
1.58,19.8744
2.2031,19.7543
2.8173,19.5949
3.4202,19.3969
4.0093,19.1611
4.5823,18.8884
5.1368,18.5798
5.6706,18.2368
6.1816,17.8605
6.6677,17.4526
7.1269,17.0147
7.5575,16.5486
7.9576,16.0561
8.3257,15.5392
8.6603,15.0
8.9599,14.4407
9.2235,13.8635
9.45,13.2707
9.6384,12.6647
9.788,12.0481
9.8982,11.4231
9.9685,10.7925
9.9987,10.1587
9.9887,9.5242
9.9384,8.8916
9.8481,8.2635
9.7181,7.6424
9.549,7.0308
9.3415,6.4311
9.0963,5.8458
8.8145,5.2773
8.4973,4.7277
8.1458,4.1994
7.7615,3.6945
7.3459,3.2149
6.9008,2.7627
6.4279,2.3396
5.9291,1.9473
5.4064,1.5875
4.862,1.2615
4.2979,0.9707
3.7166,0.7163
3.1203,0.4993
2.5115,0.3205
1.8925,0.1807
1.2659,0.0805
0.6342,0.0201
0.0,-0.0
